ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label
1126,0,80,20,248,96,32,32,0,0
1034,192,0,0,5,13,255,46,0,0
132,0,0,0,76,15,59,12,0,0
817,192,0,228,144,10,0,0,2,0
1126,0,80,24,248,96,32,32,0,0
132,0,0,0,76,16,0,12,0,0
1034,192,0,0,5,13,255,58,0,0
817,192,0,228,145,10,0,0,2,0
1126,0,80,28,248,96,32,32,0,0
132,0,0,0,76,16,1,12,0,0
817,192,0,228,146,10,0,0,2,0
1034,192,0,0,5,13,255,70,0,0
1126,0,80,32,248,96,32,32,0,0
132,0,0,0,76,16,2,12,0,0
817,192,0,228,147,10,0,0,2,0
1034,192,0,0,5,13,255,82,0,0
1126,0,80,36,248,96,32,32,0,0
132,0,0,0,76,16,3,12,0,0
817,192,0,228,148,10,0,0,2,0
1126,0,80,40,248,96,32,32,0,0
1034,192,0,0,5,13,255,94,0,0
132,0,0,0,76,16,4,12,0,0
817,192,0,228,149,10,0,0,2,0
1126,0,80,44,248,96,32,32,0,0
1034,192,0,0,5,13,255,106,0,0
132,0,0,0,76,16,5,12,0,0
817,192,0,228,150,10,0,0,2,0
1126,0,80,48,248,96,32,32,0,0
132,0,0,0,76,16,6,12,0,0
1034,192,0,0,5,13,255,118,0,0
817,192,0,228,151,10,0,0,2,0
1126,0,80,52,248,96,32,32,0,0
132,0,0,0,76,16,7,12,0,0
817,192,0,228,152,10,0,0,2,0
1034,192,0,0,5,13,255,130,0,0
1200,255,0,128,0,48,0,24,249,0
1126,0,80,56,248,96,32,32,0,0
132,0,0,0,76,16,8,12,0,0
817,192,0,228,153,10,0,0,2,0
1034,192,0,0,5,13,255,142,0,0
1126,0,80,60,248,96,32,32,0,0
132,0,0,0,76,16,9,12,0,0
817,192,0,228,154,10,0,0,2,0
1126,0,80,64,248,96,32,32,0,0
1034,192,0,0,5,13,255,154,0,0
132,0,0,0,76,16,10,12,0,0
817,192,0,228,155,10,0,0,2,0
1126,0,80,68,248,96,32,32,0,0
1034,192,0,0,5,13,255,166,0,0
132,0,0,0,76,16,11,12,0,0
817,192,0,228,156,10,0,0,2,0
1126,0,80,72,248,96,32,32,0,0
132,0,0,0,76,16,12,12,0,0
1034,192,0,0,5,13,255,178,0,0
817,192,0,228,157,10,0,0,2,0
1126,0,80,76,248,96,32,32,0,0
1200,255,0,128,0,112,0,24,245,0
132,0,0,0,76,16,13,12,0,0
817,192,0,228,158,10,0,0,2,0
1034,192,0,0,5,13,255,190,0,0
1126,0,80,80,248,96,32,32,0,0
132,0,0,0,76,16,14,12,0,0
817,192,0,228,159,10,0,0,2,0
1034,192,0,0,5,13,255,202,0,0
1126,0,80,84,248,96,32,32,0,0
132,0,0,0,76,16,15,12,0,0
817,192,0,228,160,10,0,0,2,0
1126,0,80,88,248,96,32,32,0,0
1034,192,0,0,5,13,255,214,0,0
132,0,0,0,76,16,16,12,0,0
817,192,0,228,161,10,0,0,2,0
1200,255,0,128,0,32,0,24,250,0
1126,0,80,92,248,96,32,32,0,0
1034,192,0,0,5,13,255,226,0,0
132,0,0,0,76,16,17,12,0,0
817,192,0,228,162,10,0,0,2,0
1126,0,80,96,248,96,32,32,0,0
132,0,0,0,76,16,18,12,0,0
1034,192,0,0,5,13,255,238,0,0
817,192,0,228,163,10,0,0,2,0
1126,0,80,100,248,96,32,32,0,0
132,0,0,0,76,16,19,12,0,0
817,192,0,228,164,10,0,0,2,0
1034,192,0,0,5,13,255,250,0,0
1126,0,80,104,248,96,32,32,0,0
132,0,0,0,76,16,20,12,0,0
817,192,0,228,165,10,0,0,2,0
1034,192,0,0,5,14,0,6,0,0
1126,0,80,108,248,96,32,32,0,0
132,0,0,0,76,16,21,12,0,0
817,192,0,228,166,10,0,0,2,0
1126,0,80,112,248,96,32,32,0,0
1034,192,0,0,5,14,0,18,0,0
132,0,0,0,76,16,22,12,0,0
817,192,0,228,167,10,0,0,2,0
1126,0,80,116,248,96,32,32,0,0
1200,255,0,128,0,192,0,24,240,0
1034,192,0,0,5,14,0,30,0,0
132,0,0,0,76,16,23,12,0,0
817,192,0,228,168,10,0,0,2,0
1126,0,80,120,248,96,32,32,0,0
132,0,0,0,76,16,24,12,0,0
1034,192,0,0,5,14,0,42,0,0
817,192,0,228,169,10,0,0,2,0
1126,0,80,124,248,96,32,32,0,0
132,0,0,0,76,16,25,12,0,0
817,192,0,228,170,10,0,0,2,0
1034,192,0,0,5,14,0,54,0,0
1126,0,80,128,248,96,32,32,0,0
132,0,0,0,76,16,26,12,0,0
817,192,0,228,171,10,0,0,2,0
1034,192,0,0,5,14,0,66,0,0
1126,0,80,132,248,96,32,32,0,0
132,0,0,0,76,16,27,12,0,0
817,192,0,228,172,10,0,0,2,0
1126,0,80,136,248,96,32,32,0,0
1034,192,0,0,5,14,0,78,0,0
132,0,0,0,76,16,28,12,0,0
817,192,0,228,173,10,0,0,2,0
1126,0,80,140,248,96,32,32,0,0
1034,192,0,0,5,14,0,90,0,0
132,0,0,0,76,16,29,12,0,0
817,192,0,228,174,10,0,0,2,0
1126,0,80,144,248,96,32,32,0,0
132,0,0,0,76,16,30,12,0,0
1034,192,0,0,5,14,0,102,0,0
817,192,0,228,175,10,0,0,2,0
1126,0,80,148,248,96,32,32,0,0
132,0,0,0,76,16,31,12,0,0
817,192,0,228,176,10,0,0,2,0
1034,192,0,0,5,14,0,114,0,0
1126,0,80,152,248,96,32,32,0,0
132,0,0,0,76,16,32,12,0,0
817,192,0,228,177,10,0,0,2,0
1034,192,0,0,5,14,0,126,0,0
1126,0,80,156,248,96,32,32,0,0
132,0,0,0,76,16,33,12,0,0
817,192,0,228,178,10,0,0,2,0
1126,0,80,160,248,96,32,32,0,0
1034,192,0,0,5,14,0,138,0,0
132,0,0,0,76,16,34,12,0,0
817,192,0,228,179,10,0,0,2,0
1126,0,80,164,248,96,32,32,0,0
1034,192,0,0,5,14,0,150,0,0
132,0,0,0,76,16,35,12,0,0
817,192,0,228,180,10,0,0,2,0
1126,0,80,168,248,96,32,32,0,0
132,0,0,0,76,16,36,12,0,0
1034,192,0,0,5,14,0,162,0,0
817,192,0,228,181,10,0,0,2,0
1126,0,80,172,248,96,32,32,0,0
132,0,0,0,76,16,37,12,0,0
817,192,0,228,182,10,0,0,2,0
1034,192,0,0,5,14,0,174,0,0
1126,0,80,176,248,96,32,32,0,0
132,0,0,0,76,16,38,12,0,0
817,192,0,228,183,10,0,0,2,0
1034,192,0,0,5,14,0,186,0,0
1126,0,80,180,248,96,32,32,0,0
132,0,0,0,76,16,39,12,0,0
817,192,0,228,184,10,0,0,2,0
1126,0,80,184,248,96,32,32,0,0
1034,192,0,0,5,14,0,198,0,0
132,0,0,0,76,16,40,12,0,0
817,192,0,228,185,10,0,0,2,0
1126,0,80,188,248,96,32,32,0,0
1034,192,0,0,5,14,0,210,0,0
132,0,0,0,76,16,41,12,0,0
817,192,0,228,186,10,0,0,2,0
1126,0,80,192,248,96,32,32,0,0
132,0,0,0,76,16,42,12,0,0
1034,192,0,0,5,14,0,222,0,0
817,192,0,228,187,10,0,0,2,0
1126,0,80,196,248,96,32,32,0,0
132,0,0,0,76,16,43,12,0,0
817,192,0,228,188,10,0,0,2,0
1034,192,0,0,5,14,0,234,0,0
1077,124,112,0,20,0,36,41,0,0
1077,40,32,8,92,0,32,41,0,0
1126,0,80,200,248,96,32,32,0,0
132,0,0,0,76,16,44,12,0,0
817,192,0,228,189,10,0,0,2,0
1034,192,0,0,5,14,0,246,0,0
1126,0,80,204,248,96,32,32,0,0
132,0,0,0,76,16,45,12,0,0
817,192,0,228,190,10,0,0,2,0
1126,0,80,208,248,96,32,32,0,0
1034,192,0,0,5,14,1,2,0,0
132,0,0,0,76,16,46,12,0,0
817,192,0,228,191,10,0,0,2,0
1126,0,80,212,248,96,32,32,0,0
1034,192,0,0,5,14,1,14,0,0
132,0,0,0,76,16,47,12,0,0
817,192,0,228,192,10,0,0,2,0
1126,0,80,216,248,96,32,32,0,0
132,0,0,0,76,16,48,12,0,0
1034,192,0,0,5,14,1,26,0,0
817,192,0,228,193,10,0,0,2,0
1126,0,80,220,248,96,32,32,0,0
132,0,0,0,76,16,49,12,0,0
1200,255,0,128,0,80,0,24,247,0
817,192,0,228,194,10,0,0,2,0
1034,192,0,0,5,14,1,38,0,0
1126,0,80,224,248,96,32,32,0,0
132,0,0,0,76,16,50,12,0,0
817,192,0,228,195,10,0,0,2,0
1034,192,0,0,5,14,1,50,0,0
1126,0,80,228,248,96,32,32,0,0
132,0,0,0,76,16,51,12,0,0
817,192,0,228,196,10,0,0,2,0
1126,0,80,232,248,96,32,32,0,0
1034,192,0,0,5,14,1,62,0,0
132,0,0,0,76,16,52,12,0,0
817,192,0,228,197,10,0,0,2,0
1126,0,80,236,248,96,32,32,0,0
1034,192,0,0,5,14,1,74,0,0
132,0,0,0,76,16,53,12,0,0
817,192,0,228,198,10,0,0,2,0
1077,124,112,8,92,0,36,41,0,0
1126,0,84,0,248,96,32,32,0,0
1072,131,0,7,52,100,1,18,145,0
132,0,0,0,76,16,54,12,0,0
1034,192,0,0,5,14,1,86,0,0
817,192,0,228,199,10,0,0,2,0
1126,0,84,4,248,96,32,32,0,0
132,0,0,0,76,16,55,12,0,0
817,192,0,228,200,10,0,0,2,0
1034,192,0,0,5,14,1,98,0,0
1126,0,84,8,248,96,32,32,0,0
132,0,0,0,76,16,56,12,0,0
817,192,0,228,201,10,0,0,2,0
1034,192,0,0,5,14,1,110,0,0
1126,0,84,12,248,96,32,32,0,0
132,0,0,0,76,16,57,12,0,0
817,192,0,228,202,10,0,0,2,0
1126,0,84,16,248,96,32,32,0,0
1034,192,0,0,5,14,1,122,0,0
132,0,0,0,76,16,58,12,0,0
817,192,0,228,203,10,0,0,2,0
1126,0,84,20,248,96,32,32,0,0
1034,192,0,0,5,14,1,134,0,0
132,0,0,0,76,16,59,12,0,0
817,192,0,228,204,10,0,0,2,0
1126,0,84,24,248,96,32,32,0,0
1200,255,0,128,0,96,0,24,246,0
132,0,0,0,76,17,0,12,0,0
1034,192,0,0,5,14,1,146,0,0
817,192,0,228,205,10,0,0,2,0
1126,0,84,28,248,96,32,32,0,0
132,0,0,0,76,17,1,12,0,0
817,192,0,228,206,10,0,0,2,0
1034,192,0,0,5,14,1,158,0,0
1126,0,84,32,248,96,32,32,0,0
1077,40,32,13,28,0,32,41,0,0
132,0,0,0,76,17,2,12,0,0
817,192,0,228,207,10,0,0,2,0
1034,192,0,0,5,14,1,170,0,0
1126,0,84,36,248,96,32,32,0,0
132,0,0,0,76,17,3,12,0,0
817,192,0,228,208,10,0,0,2,0
1126,0,84,40,248,96,32,32,0,0
1034,192,0,0,5,14,1,182,0,0
132,0,0,0,76,17,4,12,0,0
817,192,0,228,209,10,0,0,2,0
1200,255,0,128,0,208,0,24,239,0
1126,0,84,44,248,96,32,32,0,0
1034,192,0,0,5,14,1,194,0,0
132,0,0,0,76,17,5,12,0,0
817,192,0,228,210,10,0,0,2,0
1126,0,84,48,248,96,32,32,0,0
132,0,0,0,76,17,6,12,0,0
1034,192,0,0,5,14,1,206,0,0
817,192,0,228,211,10,0,0,2,0
1126,0,84,52,248,96,32,32,0,0
132,0,0,0,76,17,7,12,0,0
817,192,0,228,212,10,0,0,2,0
1034,192,0,0,5,14,1,218,0,0
1126,0,84,56,248,96,32,32,0,0
132,0,0,0,76,17,8,12,0,0
817,192,0,228,213,10,0,0,2,0
1034,192,0,0,5,14,1,230,0,0
1126,0,84,60,248,96,32,32,0,0
132,0,0,0,76,17,9,12,0,0
817,192,0,228,214,10,0,0,2,0
1126,0,84,64,248,96,32,32,0,0
1034,192,0,0,5,14,1,242,0,0
132,0,0,0,76,17,10,12,0,0
817,192,0,228,215,10,0,0,2,0
1126,0,84,68,248,96,32,32,0,0
1034,192,0,0,5,14,1,254,0,0
132,0,0,0,76,17,11,12,0,0
817,192,0,228,216,10,0,0,2,0
1126,0,84,72,248,96,32,32,0,0
132,0,0,0,76,17,12,12,0,0
1034,192,0,0,5,14,2,10,0,0
817,192,0,228,217,10,0,0,2,0
1126,0,84,76,248,96,32,32,0,0
132,0,0,0,76,17,13,12,0,0
817,192,0,228,218,10,0,0,2,0
1034,192,0,0,5,14,2,22,0,0
1126,0,84,80,248,96,32,32,0,0
132,0,0,0,76,17,14,12,0,0
1200,255,0,128,0,128,0,24,244,0
817,192,0,228,219,10,0,0,2,0
1034,192,0,0,5,14,2,34,0,0
1126,0,84,84,248,96,32,32,0,0
132,0,0,0,76,17,15,12,0,0
817,192,0,228,220,10,0,0,2,0
1126,0,84,88,248,96,32,32,0,0
1034,192,0,0,5,14,2,46,0,0
132,0,0,0,76,17,16,12,0,0
817,192,0,228,221,10,0,0,2,0
1126,0,84,92,248,96,32,32,0,0
1034,192,0,0,5,14,2,58,0,0
132,0,0,0,76,17,17,12,0,0
817,192,0,228,222,10,0,0,2,0
1126,0,84,96,248,96,32,32,0,0
132,0,0,0,76,17,18,12,0,0
1034,192,0,0,5,14,2,70,0,0
817,192,0,228,223,10,0,0,2,0
1126,0,84,100,248,96,32,32,0,0
1200,255,0,128,0,144,0,24,243,0
132,0,0,0,76,17,19,12,0,0
817,192,0,228,224,10,0,0,2,0
1034,192,0,0,5,14,2,82,0,0
1126,0,84,104,248,96,32,32,0,0
132,0,0,0,76,17,20,12,0,0
817,192,0,228,225,10,0,0,2,0
1034,192,0,0,5,14,2,94,0,0
1126,0,84,108,248,96,32,32,0,0
132,0,0,0,76,17,21,12,0,0
817,192,0,228,226,10,0,0,2,0
1126,0,84,112,248,96,32,32,0,0
1034,192,0,0,5,14,2,106,0,0
132,0,0,0,76,17,22,12,0,0
817,192,0,228,227,10,0,0,2,0
1126,0,84,116,248,96,32,32,0,0
1034,192,0,0,5,14,2,118,0,0
132,0,0,0,76,17,23,12,0,0
817,192,0,228,228,10,0,0,2,0
1126,0,84,120,248,96,32,32,0,0
132,0,0,0,76,17,24,12,0,0
1034,192,0,0,5,14,2,130,0,0
817,192,0,228,229,10,0,0,2,0
1126,0,84,124,248,96,32,32,0,0
132,0,0,0,76,17,25,12,0,0
817,192,0,228,230,10,0,0,2,0
1034,192,0,0,5,14,2,142,0,0
1126,0,84,128,248,96,32,32,0,0
132,0,0,0,76,17,26,12,0,0
817,192,0,228,231,10,0,0,2,0
1034,192,0,0,5,14,2,154,0,0
1126,0,84,132,248,96,32,32,0,0
132,0,0,0,76,17,27,12,0,0
817,192,0,228,232,10,0,0,2,0
1126,0,84,136,248,96,32,32,0,0
1034,192,0,0,5,14,2,166,0,0
132,0,0,0,76,17,28,12,0,0
817,192,0,228,233,10,0,0,2,0
1126,0,84,140,248,96,32,32,0,0
1034,192,0,0,5,14,2,178,0,0
132,0,0,0,76,17,29,12,0,0
817,192,0,228,234,10,0,0,2,0
1126,0,84,144,248,96,32,32,0,0
132,0,0,0,76,17,30,12,0,0
1034,192,0,0,5,14,2,190,0,0
817,192,0,228,235,10,0,0,2,0
1126,0,84,148,248,96,32,32,0,0
132,0,0,0,76,17,31,12,0,0
817,192,0,228,236,10,0,0,2,0
1034,192,0,0,5,14,2,202,0,0
1126,0,84,152,248,96,32,32,0,0
132,0,0,0,76,17,32,12,0,0
817,192,0,228,237,10,0,0,2,0
1034,192,0,0,5,14,2,214,0,0
1126,0,84,156,248,96,32,32,0,0
753,0,0,81,0,0,254,0,0,0
1072,135,0,7,52,100,5,22,147,0
132,0,0,0,76,17,33,12,0,0
817,192,0,228,238,10,0,0,2,0
1126,0,84,160,248,96,32,32,0,0
1034,192,0,0,5,14,2,226,0,0
132,0,0,0,76,17,34,12,0,0
817,192,0,228,239,10,0,0,2,0
1126,0,84,164,248,96,32,32,0,0
1034,192,0,0,5,14,2,238,0,0
132,0,0,0,76,17,35,12,0,0
817,192,0,228,240,10,0,0,2,0
1126,0,84,168,248,96,32,32,0,0
132,0,0,0,76,17,36,12,0,0
1034,192,0,0,5,14,2,250,0,0
817,192,0,228,241,10,0,0,2,0
1126,0,84,172,248,96,32,32,0,0
132,0,0,0,76,17,37,12,0,0
817,192,0,228,242,10,0,0,2,0
1034,192,0,0,5,14,3,6,0,0
1126,0,84,176,248,96,32,32,0,0
132,0,0,0,76,17,38,12,0,0
817,192,0,228,243,10,0,0,2,0
1034,192,0,0,5,14,3,18,0,0
1126,0,84,180,248,96,32,32,0,0
132,0,0,0,76,17,39,12,0,0
817,192,0,228,244,10,0,0,2,0
1126,0,84,184,248,96,32,32,0,0
1034,192,0,0,5,14,3,30,0,0
132,0,0,0,76,17,40,12,0,0
817,192,0,228,245,10,0,0,2,0
1126,0,84,188,248,96,32,32,0,0
1034,192,0,0,5,14,3,42,0,0
132,0,0,0,76,17,41,12,0,0
817,192,0,228,246,10,0,0,2,0
1126,0,84,192,248,96,32,32,0,0
132,0,0,0,76,17,42,12,0,0
1034,192,0,0,5,14,3,54,0,0
817,192,0,228,247,10,0,0,2,0
1126,0,84,196,248,96,32,32,0,0
132,0,0,0,76,17,43,12,0,0
817,192,0,228,248,10,0,0,2,0
1034,192,0,0,5,14,3,66,0,0
1126,0,84,200,248,96,32,32,0,0
132,0,0,0,76,17,44,12,0,0
817,192,0,228,249,10,0,0,2,0
1034,192,0,0,5,14,3,78,0,0
1126,0,84,204,248,96,32,32,0,0
132,0,0,0,76,17,45,12,0,0
817,192,0,228,250,10,0,0,2,0
1126,0,84,208,248,96,32,32,0,0
1034,192,0,0,5,14,3,90,0,0
132,0,0,0,76,17,46,12,0,0
817,192,0,228,251,10,0,0,2,0
1126,0,84,212,248,96,32,32,0,0
1034,192,0,0,5,14,3,102,0,0
132,0,0,0,76,17,47,12,0,0
817,192,0,228,252,10,0,0,2,0
1126,0,84,216,248,96,32,32,0,0
132,0,0,0,76,17,48,12,0,0
1034,192,0,0,5,14,3,114,0,0
817,192,0,228,253,10,0,0,2,0
1126,0,84,220,248,96,32,32,0,0
132,0,0,0,76,17,49,12,0,0
817,192,0,228,254,10,0,0,2,0
1034,192,0,0,5,14,3,126,0,0
1126,0,84,224,248,96,32,32,0,0
132,0,0,0,76,17,50,12,0,0
817,192,0,228,255,10,0,0,2,0
1034,192,0,0,5,14,3,138,0,0
1126,0,84,228,248,96,32,32,0,0
132,0,0,0,76,17,51,12,0,0
817,192,0,229,0,10,0,0,2,0
1126,0,84,232,248,96,32,32,0,0
1034,192,0,0,5,14,3,150,0,0
132,0,0,0,76,17,52,12,0,0
817,192,0,229,1,10,0,0,2,0
1126,0,84,236,248,96,32,32,0,0
1034,192,0,0,5,14,3,162,0,0
132,0,0,0,76,17,53,12,0,0
817,192,0,229,2,10,0,0,2,0
1126,0,88,0,248,96,32,32,0,0
132,0,0,0,76,17,54,12,0,0
1200,255,0,128,0,160,0,24,242,0
1034,192,0,0,5,14,3,174,0,0
817,192,0,229,3,10,0,0,2,0
1126,0,88,4,248,96,32,32,0,0
132,0,0,0,76,17,55,12,0,0
817,192,0,229,4,10,0,0,2,0
1034,192,0,0,5,14,3,186,0,0
1126,0,88,8,248,96,32,32,0,0
132,0,0,0,76,17,56,12,0,0
817,192,0,229,5,10,0,0,2,0
1034,192,0,0,5,14,3,198,0,0
1126,0,88,12,248,96,32,32,0,0
132,0,0,0,76,17,57,12,0,0
817,192,0,229,6,10,0,0,2,0
1126,0,88,16,248,96,32,32,0,0
1034,192,0,0,5,14,3,210,0,0
132,0,0,0,76,17,58,12,0,0
817,192,0,229,7,10,0,0,2,0
